Provinsi,Kode_Kab,Kabupaten_Kota,Bulan,Luas_Panen
KALIMANTAN SELATAN,6302.0,KOTABARU,Januari,0.0
KALIMANTAN SELATAN,6303.0,BANJAR,Januari,0.0
KALIMANTAN SELATAN,6304.0,BARITO KUALA,Januari,140.98
KALIMANTAN SELATAN,6305.0,TAPIN,Januari,0.0
KALIMANTAN SELATAN,6306.0,HULU SUNGAI SELATAN,Januari,0.0
KALIMANTAN SELATAN,6307.0,HULU SUNGAI TENGAH,Januari,37.07
KALIMANTAN SELATAN,6308.0,HULU SUNGAI UTARA,Januari,0.0
KALIMANTAN SELATAN,6309.0,TABALONG,Januari,0.0
KALIMANTAN SELATAN,6310.0,TANAH BUMBU,Januari,0.0
KALIMANTAN SELATAN,6311.0,BALANGAN,Januari,0.0
KALIMANTAN SELATAN,6371.0,BANJARMASIN,Januari,0.0
KALIMANTAN SELATAN,6372.0,BANJAR BARU,Januari,0.0
KALIMANTAN TIMUR,6401.0,PASER,Januari,0.0
KALIMANTAN TIMUR,6402.0,KUTAI BARAT,Januari,0.0
KALIMANTAN TIMUR,6403.0,KUTAI KARTANEGARA,Januari,409.45
KALIMANTAN TIMUR,6404.0,KUTAI TIMUR,Januari,30.55
KALIMANTAN TIMUR,6405.0,BERAU,Januari,0.0
KALIMANTAN TIMUR,6409.0,PENAJAM PASER UTARA,Januari,0.0
KALIMANTAN TIMUR,6411.0,MAHAKAM HULU,Januari,0.0
KALIMANTAN TIMUR,6471.0,BALIKPAPAN,Januari,0.0
KALIMANTAN TIMUR,6472.0,SAMARINDA,Januari,0.0
KALIMANTAN TIMUR,6474.0,BONTANG,Januari,0.0
KALIMANTAN UTARA,6501.0,MALINAU,Januari,391.34
KALIMANTAN UTARA,6502.0,BULUNGAN,Januari,377.65999999999997
KALIMANTAN UTARA,6503.0,TANA TIDUNG,Januari,0.0
KALIMANTAN UTARA,6504.0,NUNUKAN,Januari,1543.8300000000002
KALIMANTAN UTARA,6571.0,TARAKAN,Januari,0.0
SULAWESI UTARA,7101.0,BOLAANG MONGONDOW,Januari,2752.07
SULAWESI UTARA,7102.0,MINAHASA,Januari,431.28
SULAWESI UTARA,7103.0,KEPULAUAN SANGIHE,Januari,0.0
SULAWESI UTARA,7104.0,KEPULAUAN TALAUD,Januari,0.0
SULAWESI UTARA,7105.0,MINAHASA SELATAN,Januari,208.3
SULAWESI UTARA,7106.0,MINAHASA UTARA,Januari,97.41
SULAWESI UTARA,7107.0,BOLAANG MONGONDOW UTARA,Januari,17.85
SULAWESI UTARA,7108.0,SIAU TAGULANDANG BIARO,Januari,0.0
SULAWESI UTARA,7109.0,MINAHASA TENGGARA,Januari,79.26
SULAWESI UTARA,7110.0,BOLAANG MONGONDOW SELATAN,Januari,54.400000000000006
SULAWESI UTARA,7111.0,BOLAANG MONGONDOW TIMUR,Januari,38.41
SULAWESI UTARA,7171.0,MANADO,Januari,0.0
SULAWESI UTARA,7172.0,BITUNG,Januari,16.91
SULAWESI UTARA,7173.0,TOMOHON,Januari,62.059999999999995
SULAWESI UTARA,7174.0,KOTAMOBAGU,Januari,136.35
SULAWESI TENGAH,7201.0,BANGGAI KEPULAUAN,Januari,123.16
SULAWESI TENGAH,7202.0,BANGGAI,Januari,365.36
SULAWESI TENGAH,7203.0,MOROWALI,Januari,1001.01
SULAWESI TENGAH,7204.0,POSO,Januari,2184.57
SULAWESI TENGAH,7205.0,DONGGALA,Januari,188.0
SULAWESI TENGAH,7206.0,TOLI-TOLI,Januari,262.28
SULAWESI TENGAH,7207.0,BUOL,Januari,266.19
SULAWESI TENGAH,7208.0,PARIGI MOUTONG,Januari,6910.21
SULAWESI TENGAH,7209.0,TOJO UNA-UNA,Januari,74.22999999999999
SULAWESI TENGAH,7210.0,SIGI,Januari,1312.5500000000002
SULAWESI TENGAH,7211.0,BANGGAI LAUT,Januari,0.0
SULAWESI TENGAH,7212.0,MOROWALI UTARA,Januari,37.37
SULAWESI TENGAH,7271.0,PALU,Januari,26.3
SULAWESI SELATAN,7301.0,KEPULAUAN SELAYAR,Januari,0.0
SULAWESI SELATAN,7302.0,BULUKUMBA,Januari,0.0
SULAWESI SELATAN,7303.0,BANTAENG,Januari,427.47
SULAWESI SELATAN,7304.0,JENEPONTO,Januari,176.13
SULAWESI SELATAN,7305.0,TAKALAR,Januari,89.12
SULAWESI SELATAN,7306.0,GOWA,Januari,410.9
SULAWESI SELATAN,7307.0,SINJAI,Januari,0.0
SULAWESI SELATAN,7308.0,MAROS,Januari,0.0
SULAWESI SELATAN,7309.0,PANGKAJENE DAN KEPULAUAN,Januari,0.0
SULAWESI SELATAN,7310.0,BARRU,Januari,0.0
SULAWESI SELATAN,7311.0,BONE,Januari,245.24
SULAWESI SELATAN,7312.0,SOPPENG,Januari,0.0
SULAWESI SELATAN,7313.0,WAJO,Januari,49.32
SULAWESI SELATAN,7314.0,SIDENRENG RAPPANG,Januari,0.0
SULAWESI SELATAN,7315.0,PINRANG,Januari,547.79
SULAWESI SELATAN,7316.0,ENREKANG,Januari,0.0
SULAWESI SELATAN,7317.0,LUWU,Januari,1175.59
